"die Absicht, -en",Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
absolut,"1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir."
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",Lasst uns über diesen Punkt abstimmen.
"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
"abwaschen, wäscht ab,  wusch ab, hat abgewaschen",Ich muss noch das Geschirr abwaschen.
ach,"1. Sie sind krank? Ach, das tut mir aber leid. 2. Ach so! Jetzt verstehe ich, was Sie meinen. 3. Ach ja, das hatte ich vergessen. Heute gehen wir ja zu deinen Freunden. 4. Ich habe Angst, ich schaffe es nicht. – Ach was! Das wird schon klappen. "
"achten auf, achtet, achtete, hat geachtet","1. Achten Sie bitte darauf, dass abendsimmer alle Fenster geschlossen sind. 2. Hier müssen Sie auf die Vorfahrt achten. "
die Achtung,"Achtung, hier endet die Straße!"
"die Adresse, -n",Hast du schon meine neue Adresse?
" die Agentur, -en",Ich habe einen Brief von der Agentur für Arbeit bekommen.
ähnlich,1. Oleg sieht seinem Bruder sehr ähnlich. 2. Emilia ist in einer ganz ähnlichen Situation wie ich.
aha,"Ich gehe bald in Rente. – Aha, dann haben Sie ja viel Zeit für Ihre Hobbys."
"die Ahnung, -en ","Ich hatte keine Ahnung, dass du heute Geburtstag hast."
"die Aktion, -en ",Die Regierung plant eine Aktion gegen das Rauchen.
aktiv,Ich bin sehr aktiv und mache viel Sport.
"die Aktivität, -en",In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
aktuell,Umweltschutz ist ein aktuelles Thema.
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",Ich kann diese Bedingungen nicht akzeptieren.
"der Alarm, -e",Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
,
,
der Alkohol,"1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol."
all-,"1. Alles Gute! 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Sind alle da? 4. Alle unsere Freunde kommen. 5. Hast du alles?"
allein,"1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet."
aller-,"1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.2. Das ist das Allerschönste, was ich je gesehen habe."
allerdings,"Sie können sich noch für den Kurs anmelden, allerdings nur noch bis morgen."
allgemein,1. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden. 2. Wir haben nur über allgemeine Probleme gesprochen.
der Alltag,"Das ist mein Alltag: putzen, waschen, kochen."
"das Alphabet, -e",Wie viele Buchstaben hat das Alphabet Ihrer Sprache?
als,"1. Als mein Mann kam, war die Party schon zu Ende.2. Sie können sich sowohl persönlich als auch per Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte."
als ob,"Der Chef tat so, als ob wir nie darüber gesprochen hätten."
also,"1. Also, die Sache ist so: ... 2. Irina hat Urlaub. Sie kann uns alsohelfen. 3. Also wirklich, jetzt reicht es."
alt,1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.
das Alter,1. Wir sind etwa im gleichen Alter. 2. Im Alter bekomme ich eine ausreichende Rente. 3. Alter: 26 Jahre
"das Altenheim, -e ",In Deutschland leben viele alte Leute in Altenheimen.
"das Altersheim, e",Die Großeltern unserer Nachbarn sind im Altersheim.
an,"1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Meine Freundin ist Lehrerin am Gymnasium. 5. Am besten, du gehst zur Information und fragst da. 6. Das Licht war die ganze Nacht an."
"die Ampel, -n",Dort an der Ampel kannst du über die Straße gehen.
" das Amt, -""er","1. Die ämter haben heute geschlossen. 2. Wissen Sie, wo das Ordnungsamt ist?"
"amüsieren sich, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.
"analysieren, analysiert, analysierte, hat analysiert",Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
"anbieten, bietet an, bot an, hat angeboten",Darf ich Ihnen etwas zu trinken anbieten?
"das Angebot, -e",1. Ich habe ein paar günstige Wohnungs- angebote bekommen. 2. Dieser Käse ist heute im Angebot.
ander-,1. Die anderen sind schon nach Hause gegangen.2. Bitte nicht alle auf einmal! Einer nach dem anderen.3. Ich hätte gern ein anderes Auto. 4. Das andere Kleid gefällt mir besser. 5. Natascha hat unter anderem Chinesisch und Spanisch gelernt.
andererseits,Tarek will zwar studieren. Anderer- seits möchte er aber auch gleich Geld verdienen.
"ändern, ändert, änderte, hat geändert",1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert. 3. Können Sie mir diese Hose ändern?
"die änderung, -en",Es gibt eine Programmänderung.
anders,1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.
"anerkennen, erkennt an, erkannte an, hat anerkannt",Meine Ausbildung wird hier nicht anerkannt.
"anfangen, fängt an, fing an, hat angefangen","1. Wann fängst du mit der Arbeit an? 2. Wann haben Sie angefangen, Deutsch zu lernen? 3. Hier fängt die Bahnhofstraße an."
"der Anfang, -""e","1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich mich hier sehr fremd gefühlt. 3. Mein Chef ist Anfang Fünfzig.4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.
5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang
der Straße."
,
,
anfangs,Anfangs ging alles gut.
"die Angabe,-n","Wir brauchen von Ihnen folgende An- gaben: Name, Adresse, Geburtsdatum."
"angeben, gibt an, gab an, hat angegeben",Bitte geben Sie Ihre genaue Adresse an
"der Angehörige, -n",Wir dürfen nur Familienangehörigen Auskunft geben.
angenehm,1. Wir wünschen Ihnen eine angenehme Reise.2. Welcher Termin wäre Ihnen angenehm?
"die Angst, -""e","1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts.2. Ich habe Angst, vielleicht ist etwas passiert."
ängstlich,Meine Tochter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.
"anhaben, hat an, hatte an, hat angehabt",Gestern hatte Julia ein rotes Kleid an.
"ankommen, kommt an, kam an, ist angekommen","1. Wann kommt der Zug in Hamburg an? 2. Es kommt darauf an, dass Sie alle Fragen im Test beantworten. 3. Welche Note brauche ich? – Das kommt darauf an, ob Sie studieren möchten oder nicht."
die Ankunft,"1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.2. Gleich nach der Ankunft habe ich meine Eltern angerufen."
"die Anlage, -n",1. Meine Musikanlage ist kaputt. 2. In der Anlage finden Sie meinen Lebenslauf.
"anmelden, meldet an, meldete an, hat ange- meldet, angemeldet sein",1. Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.2. Ich melde meinen Sohn im Kindergarten an.
"die Anmeldung, -en","1. Wo bekomme ich die Formulare für die Anmeldung?2. Die Anmeldung ist im Erdgeschoss, Zimmer 55."
"die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.
"anrufen, ruft an, rief an, hat angerufen",Ich rufe Sie heute Abend an.
"der Anruf, -e",1. Ich warte auf einen Anruf aus Berlin. 2. Meine Tochter bekommt viele Anrufe auf ihrem Handy.
"der Anrufbeantworter, - ",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.
"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.
"anschaffen, schafft an, schaffte an, hat angeschafft",Wir haben uns neue Möbel angeschafft.
"anschließen, schließt an, schloss an, hat angeschlossen",Wo kann ich den Computer anschließen?
"der Anschluss, -""e",1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.
"anschnallen, schnallt an, schnallte an, hat angeschnallt","Vergiss nicht, dich anzuschnallen!"
"ansehen, sieht an,sah an, hat angesehen",1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?
"ansprechen, spricht an, sprach an, hat angesprochen",Gestern hat mich die neue Mieterin im Treppenhaus angesprochen.
"der Anspruch, - ""e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
"anstellen, stellt an,stellte an, hat angestellt",1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt.3. Da vorne ist die Kasse. Du musst dich anstellen.
"der Angestellte, -n",Björn ist Angestellter in einem Reisebüro.
"anstrengen sich, strengt sich an, strengte sich an, hat sich angestrengt","1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen."
anstrengend,Ich finde diese Arbeit sehr anstrengend.
"der Antrag, -""e",1. Haben Sie schon einen Antrag auf Wohngeld gestellt? 2. Die Anträge bekommen Sie in Zimmer 47.
"anwenden, wendet an, wandte an, hat angewandt/ angewendet",Diese Salbe muss man dreimal am Tag anwenden.
anwesend,Bei dem Treffen waren alle Mitglieder anwesend.
"antworten, antwortet, antwortete, hat geantwortet",Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
"die Antwort, -en",Leider habe ich keine Antwort bekommen.
" der Anwalt, -""e",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.
,
,
"anzeigen, zeigt an, zeigte an, hat angezeigt","Wenn Sie hier parken, zeige ich Sie an."
"die Anzeige, -n","1. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.2. Ich habe alle Wohnungsanzeigen gelesen. Aber das ist alles viel zu teuer."
"anziehen, zieht an, zog an, hat angezogen","1. Du musst dich wärmer anziehen, sonst erkältest du dich.2. Morgen ziehe ich mir etwas Wärmeres an.3. Zieh dich bitte an! Wir müssen gehen."
"der Anzug, -""e ",Mein Mann hat sich einen neuen Anzug gekauft.
"das Apartment, -s",Wir haben ein Ferienapartment gemietet.
"der Apfel, -""",1. Möchtest du einen Apfel? 2. Ein Pfund äpfel bitte.
"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?
" der Apparat, -e",1. Können Sie den Apparat bitte etwas leiser stellen?2. Wo ist mein Fotoapparat?
der Appetit,1. Ich habe heute keinen Appetit. Ich mag nichts essen.2. Worauf hast du Appetit? Vielleicht auf einen Salat?3. Guten Appetit! 
"die Aprikose, -n",Schmecken dir die Aprikosen?
"arbeiten, arbeitet, arbeitete, hat gearbeitet",1. Meine Cousine arbeitet zu viel. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.
"die Arbeit, -en",1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.
"der Arbeiter, -  ",Björn ist Arbeiter bei Siemens.
"der Arbeitgeber, -",Wer ist Ihr Arbeitgeber?
"der Arbeitnehmer, -",Die Arbeitnehmer wählen einen Betriebsrat.
die Arbeitserlaubnis,Bitte bringen Sie Ihre Arbeitserlaubnis mit.
arbeitslos,Viele Leute hier sind schon lange arbeitslos.
die Arbeitslosigkeit ,Die Arbeitslosigkeit ist gesunken.
"der Arbeitsplatz, -""e",In der Industrie gibt es immer weniger Arbeitsplätze.
"die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.
"ärgern, ärgert, ärgerte, hat geärgert",ärgern Sie sich nicht.
,
der ärger,Ich hatte heute ärger im Büro. Ich habe mich mit einem Kollegen gestritten.
ärgerlich,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
arm,1. Bitte sammeln Sie Geld für arme Kinder!2. Ich hätte gerne 200 g fettarmen Käse.
"der Arm, -e",Mein Freund hat sich den Arm gebrochen.
"die Art, -en ",Okra ist eine Gemüseart.
"der Artikel, -","1. Ich habe einen interessanten Artikel gelesen.2. Im Deutschen gibt es drei Artikel: der, die, das."
"der Arzt, -""e",1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?
 das Asyl,Viele Ausländer bitten in der Bundesrepublik um politisches Asyl.
"atmen, atmet, atmete, hat geatmet",Er hat eine Erkältung und kann nicht durch die Nase atmen.
auch,"1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren.Warum kommst du auch so spät?"
auf,1. Deine Brille liegt auf dem Schreibtisch. 2. Die Kinder spielen unten auf der Straße. 3. Meine Eltern leben auf dem Land. 4. Gestern waren wir auf einer Party. 5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet. 6. Wie heißt das auf Deutsch? 7. Meine Tochter kommt nächstes Jahr aufs Gymnasium.
"der Aufenthalt, -e",1. Der Zug hat in München nur 20 Minuten Aufenthalt.2. Haben Sie eine gültige Aufenthaltserlaubnis?3. Wir wünschen Ihnen einen angenehmen Aufenthalt.
"auffallen, fällt auf, fiel auf, ist aufgefallen","Mir ist aufgefallen, dass Harriett ganz blass ist."
"die Aufforderung, -en",Sie erhalten eine Zahlungsaufforderung.
"aufführen, führt auf, führte auf, hat aufgeführt",Die Kinder führen zu Weihnachten ein Theaterstück auf.
"die Aufgabe, -n",1. Hast du deine Hausaufgaben für die Schule schon gemacht?2. Das ist nicht meine Aufgabe.
,
,
"aufgeben, gibt auf, gab auf, hat aufgegeben",1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
"aufhalten, hält auf, hielt auf, hat aufgehalten","1. Hier können Sie sich aufhalten, bis Sie an der Reihe sind. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung,
ich wurde aufgehalten."
"aufheben, hebt auf, hob auf, hat aufgehoben","1. Lassen Sie die Papiere nur auf dem
Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben."
"aufhören, hört auf,        1. hörte auf, hat aufgehört",1. Es hört nicht auf zu schneien. 2. Wann hört ihr mit der Arbeit auf? 3. Hier hört die Hauptstraße auf.
"auflösen, löst auf, löste auf, hat aufgelöst",Die Tablette bitte in Wasser auflösen.
aufmerksam," 1.Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen."
"aufnehmen, nimmt auf,        1. nahm auf, hat aufgenommen","1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub
aufgenommen."
"die Aufnahme, -n",Bringen Sie bitte Ihre Röntgenaufnah- men zur nächsten Sprechstunde mit.
"aufpassen, passt auf,        1. passte auf, hat aufgepasst","1. Tut mir leid. Da habe ich wohl nicht
aufgepasst. 2. Ich muss zu Hause bleiben und auf
die Kinder aufpassen."
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
"aufregen, regt auf,        1. regte auf, hat aufgeregt","1. Es regt mich auf, dass ich schon wieder überstunden machen muss. 2. Ruf gleich an, wenn du angekommen
bist, sonst regt sich deine Mutter
wieder auf. 3. Ganz ruhig! Bitte regen Sie sich
nicht auf. 4. Die Musikgruppe zu erleben war sehr aufregend."
"auf sein, ist auf,        1. war auf, ist auf gewesen","Ich bin schon seit zwei Stunden auf. Du brauchst nicht zu klingeln, die Tür ist auf."
"aufstehen, steht auf,        1. stand auf, ist aufgestanden","1. Ich stehe jeden Morgen um sechs Uhr auf. 2. Sie brauchen nicht aufzustehen. Sie
können sitzen bleiben. 3. Solange Sie Fieber haben, dürfen Sie
auf keinen Fall aufstehen."
"der Auftrag, -""e",1. Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief abgeben. 2. Im Moment hat die Firma besonders viele Aufträge.
"auftreten, tritt auf, trat auf, ist aufgetreten",Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
"aufwachen, wacht auf, wachte auf, ist aufgewacht",Von dem Lärm bin ich aufgewacht.
aufwärts,1. Sie müssen gut zu Fuß sein. Es geht immer aufwärts.2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.
,
"der Aufzug, -""e",Der Aufzug ist leider wieder kaputt.
" das Auge, -n",Meine beiden Kinder haben blaue Augen.
"der Augenblick, e","1. Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen. 2. Einen Augenblick, bitte!"
aus,1. Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.2. Frau özgen kommt aus der Türkei. 3. Die Möbel sind noch aus der Zeit um 1900. 4. Ich trage nur Pullover aus reiner Wolle. 5. Wir haben aus Liebe geheiratet.
"die Ausbildung, -en",1. Ich habe meine Ausbildung abgeschlossen. 2. Mit deiner guten Ausbildung findest du sicher eine Arbeit.
"der Ausbildungsplatz, -""e",Mein Neffe sucht nach der Schule einen Ausbildungsplatz als Kfz-Mechaniker.
ausgebildet,Für diesen Beruf müssen Sie gut ausgebildet sein.
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",Kann ich das auf deinem Drucker ausdrucken?
"der Ausdruck, -""e",1. Diesen Ausdruck habe ich noch nie gehört.2. Machen Sie doch bitte einen Ausdruck von der E-Mail.
auseinander ,Wir wohnen nicht weit auseinander.
"die Ausfahrt, -en","1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken.2. Wie weit ist es noch bis zur Ausfahrt Freiburg?"
"ausfallen, fällt aus, fiel aus, ist ausgefallen",1. Nächste Woche fällt der Kurs aus. 2. Mir fallen die Haare aus.
"der Ausflug, -""e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.
,
111,
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt",Füllen Sie bitte dieses Formular aus!
"ausgeben, gibt aus, gab aus, hat ausgegeben",Carola gibt viel Geld für ihr Hobby aus.
"die Ausgabe, -n",1. Wie hoch sind Ihre Ausgaben? 2. Wo ist die Essensausgabe? 3. Wo steht das? In welcher Ausgabe?
"ausgehen, geht aus, ging aus, ist ausgegangen",1. Plötzlich ist das Licht ausgegangen. 2. Gehen wir heute Abend aus? 3. Wie ist das Spiel ausgegangen?
"der Ausgang, -""e ",Wo ist der Ausgang bitte?
"die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.
,
"die Auskunft, -""e","1. Ich hätte gern eine Auskunft. 2. Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an."
das Ausland,Wir fahren im Urlaub meistens ins Ausland.
" der Ausländer, -",Viele Ausländer lernen in der Volkshochschule Deutsch.
ausländisch ,In meiner Firma arbeiten mehr ausländische Kollegen als deutsche.
"ausmachen, macht aus, machte aus, hat ausgemacht","1. Machen Sie bitte das Licht aus!2. Wir hatten doch ausgemacht, dass du die Getränke besorgst. 3. Haben Sie einen Termin ausgemacht? 4. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus."
"die Ausnahme, -n ",1. Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme. 2. Mit Ausnahme der Fahrtkosten müssen Sie alles selbst bezahlen.
ausreichend,Dafür bekommst du leider nur die Note ausreichend.
"ausrichten, richtet aus, richtete aus, hat ausgerichtet",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?
"ausschließen, schließt aus, schloss aus, hat ausgeschlossen",So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.
ausschließlich,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
"aussehen, sieht aus, sah aus, hat ausgesehen","1. Sie sehen wieder besser aus. Sind Sie wieder gesund? 2. Es sieht so aus, als ob es bald regnet."
"aus sein, ist aus, war aus, ist aus gewesen","1. Ich glaube, die Heizung ist aus. 2. Samstags ist die Schule schon um elf Uhr aus."
außen,"1. Wir haben das Schloss nur von außen gesehen.
2. Außen ist das Haus nicht sehr schön."
,
außer,1. Außer Lisa hat sich niemand um die Stelle beworben. 2. Der Aufzug ist außer Betrieb. 3. Wir haben täglich außer Samstag geöffnet.
äußerlich,Das Medikament dürfen Sie nur äußerlich anwenden.
außerdem,"1. Möchten Sie außerdem noch etwas? 2. Der Film war langweilig, und außerdem haben die Schauspieler schlecht gespielt."
außerhalb ,Wir wohnen außerhalb von Berlin.
"die Aussicht, -en","1. Von diesem Turm hat man eine tolle Aussicht. 2. Mit mehreren Fremdsprachen hat man gute Aussichten, eine Stelle zu bekommen."
"aussprechen, spricht aus, sprach aus, hat ausgesprochen",Wie spricht man dieses Wort aus?
die Aussprache,Ali hat eine gute Aussprache.
"ausstellen, stellt aus, stellte aus, hat ausgestellt",1. Im Schaufenster sind Winterschuhe ausgestellt. 2. Sie müssen sich einen neuen Führerschein ausstellen lassen.
"die Ausstellung, -en",1. Wir waren mit der Lehrerin in einer Ausstellung. 2. Die Ausstellung eines neuen Passes dauert zwei Wochen.
"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht",Such dir etwas Schönes aus! Ich lade dich ein
"auswählen, wählt aus, wählte aus, hat ausgewählt",Für die Aufgabe können Sie unter drei Themen auswählen.
"der Ausweis, -e ",Darf ich mal Ihren Ausweis sehen?
"ausziehen, zieht aus, zogaus,hat/istausgezogen",1. Willst du den Mantel nicht ausziehen? 2.DerArztmöchteSieuntersuchen. Bitte ziehen Sie sich aus. 3. Müllers sind schon vor vier Wochen ausgezogen.
"der Auszubildende, -n",Der Meister kümmert sich um die Auszubildenden.
"das Auto, -s ",Mario fährt mit dem Auto zur Arbeit.
"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.
"der Automat, -en",1. Zigaretten bekommst du am Automaten. 2. Der Fahrkartenautomat ist auf dem Bahnsteig.
automatisch,1. Die Tür schließt automatisch. 2. Ihre Lohnsteuerkarte bekommen Sie automatisch zugeschickt.
,
,
